UNIX time,seconds_elapsed,z,y,x,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1763934555501264400,26.7873,1.744263734,4.077249732,1.36126088,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555511315500,26.7973,-4.439627292,0.1936585318,3.991618736,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555521366300,26.8074,1.188453413,0.7973943866,-1.311180798,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555531418400,26.8174,3.020003655,0.5368247574,-2.004081814,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555541469400,26.8275,-2.997028437,-0.8145021733,2.315742456,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555551520300,26.8375,-2.147731868,0.2712783626,-2.181945395,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555561571300,26.8476,3.080987993,2.310177661,-3.898058409,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555571623400,26.8576,-0.7363783385,0.4783996025,1.896319943,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555581674200,26.8677,-2.062764889,0.4875260351,0.065155486,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555591725300,26.8777,1.702296231,4.445384833,-4.055970505,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555601777400,26.8878,0.2647146201,3.895076178,-1.315369482,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555611828200,26.8978,-2.948488571,3.131869746,2.50362182,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555621879300,26.9079,0.9163480983,3.627641632,-1.731132888,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555631930400,26.9179,3.01771116,4.369838886,-1.198217267,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555641982200,26.9280,-1.572839684,2.648979554,2.040003607,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555652033300,26.9380,-0.06724573628,3.243546453,-2.488020346,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
1763934555662084400,26.9481,0.7248644264,5.013973825,0.0504366403,235.6566547,0.3080157152,7.258974519,43.12494572,270.1382869,188.8984833,4.74865153,5.200462581,-89.31832285,3.668035984
